number, RTT, Drift, t0, t1, t2, t3
835,0.165690184,-0.097401261,02:13.5,02:13.4,02:13.4,02:13.4
836,0.154386282,-0.090116382,02:23.7,02:23.5,02:23.5,02:23.6
837,0.167326689,-0.095638871,02:33.9,02:33.7,02:33.7,02:33.7
838,0.154732943,-0.090564132,02:44.0,02:43.9,02:43.9,02:43.9
839,0.165497303,-0.084875345,02:54.2,02:54.0,02:54.0,02:54.0
840,0.15451932,-0.090049624,03:04.4,03:04.2,03:04.2,03:04.2
841,0.331111431,-0.18166995,03:14.7,03:14.4,03:14.4,03:14.4
842,0.159584284,-0.090876222,03:24.9,03:24.7,03:24.7,03:24.7
843,0.287144423,-0.155431867,03:35.2,03:34.9,03:34.9,03:34.9
844,0.157582998,-0.089482427,03:45.3,03:45.1,03:45.1,03:45.2
845,0.157655001,-0.089209437,03:55.5,03:55.3,03:55.3,03:55.3
846,0.174833775,-0.083762169,04:05.7,04:05.5,04:05.5,04:05.5
847,0.16515851,-0.092318654,04:15.8,04:15.6,04:15.6,04:15.7
848,0.156889677,-0.094550252,04:26.0,04:25.8,04:25.8,04:25.8
849,0.158405066,-0.092780709,04:36.1,04:36.0,04:36.0,04:36.0
850,0.153800249,-0.091759086,04:46.3,04:46.1,04:46.1,04:46.1
851,0.154815912,-0.096488833,04:56.5,04:56.3,04:56.3,04:56.3
852,0.286843061,-0.157326341,05:06.8,05:06.4,05:06.4,05:06.5
853,0.157788038,-0.0898875,05:16.9,05:16.7,05:16.7,05:16.8
854,0.156758547,-0.09423244,05:27.1,05:26.9,05:26.9,05:26.9
855,0.159188986,-0.095229268,05:37.2,05:37.1,05:37.1,05:37.1
856,0.167000294,-0.094699621,05:47.4,05:47.2,05:47.2,05:47.2
857,0.155223131,-0.09454596,05:57.6,05:57.4,05:57.4,05:57.4
858,0.155612946,-0.094126225,06:07.7,06:07.6,06:07.6,06:07.6
859,0.160790682,-0.094792247,06:17.9,06:17.7,06:17.7,06:17.7
860,0.164569378,-0.100492954,06:28.1,06:27.9,06:27.9,06:27.9
861,0.19075036,-0.073330283,06:38.3,06:38.1,06:38.1,06:38.1
862,0.167988062,-0.089345574,06:48.4,06:48.3,06:48.3,06:48.3
863,0.163079023,-0.091384292,06:58.6,06:58.4,06:58.4,06:58.4
864,0.241987228,-0.138587952,07:08.8,07:08.6,07:08.6,07:08.6
865,0.152096748,-0.095153809,07:19.0,07:18.8,07:18.8,07:18.8
866,0.266596317,-0.145238638,07:29.3,07:29.0,07:29.0,07:29.0
867,0.156516552,-0.095359325,07:39.4,07:39.3,07:39.3,07:39.3
868,0.162789106,-0.090000749,07:49.6,07:49.4,07:49.4,07:49.4
869,0.163462877,-0.08733809,07:59.8,07:59.6,07:59.6,07:59.6
870,0.154506922,-0.096921086,08:09.9,08:09.7,08:09.7,08:09.8
871,0.155357599,-0.094395518,08:20.1,08:19.9,08:19.9,08:19.9
872,0.156795502,-0.097289324,08:30.2,08:30.1,08:30.1,08:30.1
873,0.154896498,-0.093635917,08:40.4,08:40.2,08:40.2,08:40.2
874,0.150450706,-0.096332312,08:50.6,08:50.4,08:50.4,08:50.4
875,0.342854977,-0.186554193,09:00.9,09:00.5,09:00.5,09:00.6
876,0.208303928,-0.070470572,09:11.1,09:10.9,09:10.9,09:10.9
877,0.335746527,-0.185378671,09:21.5,09:21.1,09:21.1,09:21.1
878,0.163574696,-0.096613169,09:31.6,09:31.4,09:31.4,09:31.5
879,0.159620285,-0.095126152,09:41.8,09:41.6,09:41.6,09:41.6
880,0.162556648,-0.096821308,09:52.0,09:51.8,09:51.8,09:51.8
881,0.174857855,-0.090001941,10:02.1,10:02.0,10:02.0,10:02.0
882timeout,,,,,,
883,0.155739546,-0.097566009,10:25.3,10:25.1,10:25.1,10:25.1
884,0.247119427,-0.140727997,10:35.6,10:35.3,10:35.3,10:35.3
885,0.160897255,-0.100494146,10:45.7,10:45.5,10:45.5,10:45.6
886,0.162999868,-0.097238421,10:55.9,10:55.7,10:55.7,10:55.7
887,0.156748533,-0.098409295,11:06.0,11:05.9,11:05.9,11:05.9
888,0.15918088,-0.099134564,11:16.2,11:16.0,11:16.0,11:16.0
889,0.164054155,-0.096336722,11:26.4,11:26.2,11:26.2,11:26.2
890,0.155596495,-0.098184466,11:36.5,11:36.4,11:36.4,11:36.4
891,0.187561035,-0.081648588,11:46.7,11:46.5,11:46.5,11:46.5
892,0.164500475,-0.087441802,11:56.9,11:56.7,11:56.7,11:56.7
893,0.359966755,-0.185421944,12:07.3,12:06.9,12:06.9,12:06.9
894,2.872337818,-1.402436256,12:20.1,12:17.3,12:17.3,12:17.3
895,3.004233837,-1.499660492,12:33.1,12:30.1,12:30.1,12:30.1
896,0.211482525,-0.110757828,12:43.4,12:43.1,12:43.1,12:43.1
897,0.206749439,-0.120725393,12:53.6,12:53.3,12:53.3,12:53.4
898,0.285871983,-0.146994352,13:03.9,13:03.6,13:03.6,13:03.6
899,0.157290936,-0.087804556,13:14.0,13:13.9,13:13.9,13:13.9
900,0.160955191,-0.088799119,13:24.2,13:24.0,13:24.0,13:24.0
901,0.170911551,-0.104510427,13:34.4,13:34.2,13:34.2,13:34.2
902,0.168122768,-0.091573477,13:44.5,13:44.4,13:44.4,13:44.4
903,0.173399448,-0.093692064,13:54.7,13:54.5,13:54.5,13:54.5
904,0.185639143,-0.093038917,14:04.9,14:04.7,14:04.7,14:04.7
905,0.341854334,-0.007860065,14:15.2,14:15.1,14:15.1,14:14.9
906,0.166550159,-0.096001387,14:25.4,14:25.2,14:25.2,14:25.3
907,0.16379118,-0.097293854,14:35.6,14:35.4,14:35.4,14:35.4
908,0.181350231,-0.090649366,14:45.8,14:45.6,14:45.6,14:45.6
909,0.201632261,-0.112954021,14:56.0,14:55.8,14:55.8,14:55.8
910,0.173892021,-0.105527401,15:06.1,15:06.0,15:06.0,15:06.0
911,0.164712191,-0.096967101,15:16.3,15:16.1,15:16.1,15:16.2
912,0.161498308,-0.098807454,15:26.5,15:26.3,15:26.3,15:26.3
913,0.16946435,-0.099613309,15:36.7,15:36.5,15:36.5,15:36.5
914,0.160019159,-0.099834561,15:46.8,15:46.6,15:46.6,15:46.7
915,0.162518263,-0.098552585,15:57.0,15:56.8,15:56.8,15:56.8
916timeout,,,,,,
917,0.524035215,-0.265693069,16:20.5,16:20.0,16:20.0,16:20.0
918,0.168316126,-0.097566247,16:30.7,16:30.5,16:30.5,16:30.5
919,0.166386366,-0.097223639,16:40.9,16:40.7,16:40.7,16:40.7
920,0.332252741,-0.013835311,16:51.2,16:51.0,16:51.0,16:50.9
921,0.157424688,-0.10035193,17:01.4,17:01.2,17:01.2,17:01.2
922,0.449348211,-0.246105075,17:11.8,17:11.3,17:11.3,17:11.4
923,0.159011602,-0.099797606,17:22.0,17:21.8,17:21.8,17:21.8
924,0.161465406,-0.102671504,17:32.1,17:32.0,17:32.0,17:32.0
925,0.163697243,-0.102394819,17:42.3,17:42.1,17:42.1,17:42.1
926,0.165810347,-0.099391818,17:52.5,17:52.3,17:52.3,17:52.3
927,0.161039829,-0.104522705,18:02.6,18:02.5,18:02.5,18:02.5
928,0.156120539,-0.101792932,18:12.8,18:12.6,18:12.6,18:12.7
929,0.162106991,-0.102395296,18:23.0,18:22.8,18:22.8,18:22.8
930,0.161015749,-0.099490285,18:33.1,18:33.0,18:33.0,18:33.0
931,0.191921234,-0.117024183,18:43.3,18:43.1,18:43.1,18:43.1
932,0.159115553,-0.103138089,18:53.5,18:53.3,18:53.3,18:53.3
933timeout,,,,,,
934,0.334679842,-0.010322452,19:16.8,19:16.7,19:16.7,19:16.5
935,0.331971884,-0.183570504,19:27.2,19:26.8,19:26.8,19:26.9
936,0.15708971,-0.09852457,19:37.3,19:37.2,19:37.2,19:37.2
937,0.322516918,-0.181238413,19:47.7,19:47.3,19:47.3,19:47.3
938,0.155334949,-0.098582029,19:57.8,19:57.7,19:57.7,19:57.7
939,0.162046432,-0.094390631,20:08.0,20:07.8,20:07.8,20:07.8
940,0.157441616,-0.097827196,20:18.2,20:18.0,20:18.0,20:18.0
941,0.161247969,-0.097813487,20:28.3,20:28.1,20:28.1,20:28.2
942,0.172885656,-0.101626039,20:38.5,20:38.3,20:38.3,20:38.3
943timeout,,,,,,
944,0.225664854,-0.133160472,21:01.7,21:01.5,21:01.5,21:01.5
945,0.201622248,-0.105811954,21:11.9,21:11.7,21:11.7,21:11.7
